coinpair,timeframe,length_in_days,trend,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
eth,4h,951.0,_recentYear,492.2241664097194,4,9.5,11,8,68.90709954910963,3,-19.67754332771924,15.527576227435942,"""[23.94429610840398, 4.452336665891642, 49.22854327479162, 333.96847080150206, 57.01434437016371, 54.45676837915732, 23.277111213659456, 4.914925579307256]""","""[-21.074880054832086, -21.389974992264257, -16.56777493606138]"""
eth,4h,951.0,_recentYear,478.0954769047342,7,9.0,10,8,64.79208999756898,2,-20.120621537908825,15.081876243051552,"""[23.94429610840398, 1.2765692272830216, 47.25120802874489, 308.95228538132847, 55.40579898921484, 54.45676837915732, 22.134868287112095, 4.914925579307256]""","""[-23.673468139756274, -16.56777493606138]"""
eth,4h,951.0,_recentYear,434.1713060160291,6,9.5,11,8,61.962997236745025,3,-20.510890625977,13.69625571028483,"""[20.081976676302283, 1.2765692272830216, 33.399145087349766, 308.95228538132847, 55.0411165401809, 54.45676837915732, 17.581191023051183, 4.914925579307256]""","""[-24.35767656446436, -19.312724862715395, -17.862270450751257]"""
eth,4h,951.0,_recentYear,504.4031847139718,10,9.0,8,7,74.66601944580306,1,-18.25895140664962,15.911772388453368,"""[48.628896602362985, 45.872897999263536, 308.95228538132847, 42.25517115615069, 54.45676837915732, 17.581191023051183, 4.914925579307256]""","""[-18.25895140664962]"""
eth,4h,951.0,_recentYear,499.3244771495734,8,9.0,9,7,77.32241381371134,2,-20.966209773202948,15.75156079336194,"""[49.40321073359588, 47.25120802874489, 308.95228538132847, 55.40579898921484, 54.45676837915732, 20.87269960463067, 4.914925579307256]""","""[-23.673468139756274, -18.25895140664962]"""
eth,4h,951.0,_recentYear,427.8577483170599,6,9.0,13,8,65.86562695522699,5,-19.813453464951195,13.497089852273183,"""[23.94429610840398, 3.9268774703557225, 47.25120802874489, 308.95228538132847, 61.01721981972595, 54.45676837915732, 22.461434874792293, 4.914925579307256]""","""[-18.223357891460005, -22.740395906727066, -23.673468139756274, -16.56777493606138, -17.862270450751257]"""
eth,4h,951.0,_recentYear,482.1981323102217,9,9.0,9,7,74.97353718304795,2,-21.30831398555699,15.21129754921835,"""[49.40321073359588, 47.25120802874489, 308.95228538132847, 42.25517115615069, 54.45676837915732, 17.581191023051183, 4.914925579307256]""","""[-24.35767656446436, -18.25895140664962]"""
eth,4h,951.0,_recentYear,499.52049034117374,11,9.0,8,7,73.72689503960501,1,-16.56777493606138,15.757744174800433,"""[44.000452766468335, 45.872897999263536, 306.47554697554693, 42.25517115615069, 54.45676837915732, 18.11250242134102, 4.914925579307256]""","""[-16.56777493606138]"""
eth,4h,951.0,_recentYear,471.92181019274625,9,9.5,8,7,70.40769608442375,1,-20.932062398220037,14.887123349928903,"""[44.000452766468335, 33.22241699319447, 308.95228538132847, 41.92124961014659, 45.52808899702223, 15.956817112654615, 3.2725617301516055]""","""[-20.932062398220037]"""
eth,4h,951.0,_recentYear,454.2132292341062,7,9.5,10,8,62.23545383266075,2,-21.835200713589877,14.328493035776221,"""[19.506329198740136, 0.750849762066617, 47.25120802874489, 308.95228538132847, 55.0411165401809, 45.52808899702223, 17.581191023051183, 3.2725617301516055]""","""[-24.35767656446436, -19.312724862715395]"""
