coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss
ada,1041.6666666666665,-374.7267256891172,2,2.0,2551,627,2.6114852579278267,1924,-1.5655550844126116
ada,1041.6666666666665,-1.6721752415851014,2,2.5,1926,486,3.2061575083090497,1440,-1.7776838363054057
ada,1041.6666666666665,211.8908028897531,2,3.0,1519,409,3.376114211713238,1110,-1.953999918649516
ada,1041.6666666666665,499.48651897474224,2,3.5,1227,342,3.8355499606145873,885,-2.0477644831135002
ada,1041.6666666666665,671.3403879288782,2,4.0,1026,304,4.219468843245689,722,-2.231825679249048
ada,1041.6666666666665,771.8432950534789,2,4.5,883,273,4.390485950396513,610,-2.3389497859094575
ada,1041.6666666666665,884.3985292554082,2,5.0,765,246,4.732852453728129,519,-2.466056212642988
ada,1041.6666666666665,973.5429437452952,2,5.5,666,211,5.399573190635673,455,-2.5621252735798508
ada,1041.6666666666665,999.1221136400934,2,6.0,599,184,5.947897127349614,415,-2.6392553199812894
ada,1041.6666666666665,972.4497916244527,2,6.5,550,176,5.8906554104034825,374,-2.8457367930656674
ada,1041.6666666666665,996.2393706292776,2,7.0,491,164,6.116322093199789,327,-3.0790136166834516
ada,1041.6666666666665,1041.322008506744,2,7.5,439,153,6.279975639749999,286,-3.2150848404720533
ada,1041.6666666666665,1088.9334369883506,2,8.0,406,146,6.352383919310304,260,-3.2250562124267463
ada,1041.6666666666665,1096.6240117231282,2,8.5,377,137,6.591682205955066,240,-3.3601518770529877
ada,1041.6666666666665,1107.398720070116,2,9.0,349,130,6.764276125803108,219,-3.5249186131702688
ada,1041.6666666666665,1076.0904723090464,2,9.5,327,125,6.60733606019917,202,-3.7120125505735198
ada,1041.6666666666665,1122.6287893617784,2,10.0,308,117,7.073380126394517,191,-3.690872698567435
ada,1041.6666666666665,1118.9142471844864,2,10.5,286,106,7.420239753091224,180,-3.7090620369065745
ada,1041.6666666666665,1146.994944764485,2,11.0,266,94,8.34955126137701,172,-3.7085050802613617
ada,1041.6666666666665,1128.8270066345701,2,11.5,255,89,8.483792069815433,166,-3.7724728167409833
ada,1041.6666666666665,1138.2683590333675,2,12.0,240,86,8.563968613563931,154,-3.884629491773567
