coinpair,timeframe,length_in_days,trend,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
eth,4h,951.0,_recentYear,440.5642375758801,7,11.0,8,6,77.88850841636018,2,-13.383406461140527,13.897925475579813,"""[40.50129225679288, 32.150055235055845, 306.47554697554693, 38.33455789206993, 40.00547497939158, 9.864123159303892]""","""[-26.560345092732142, -0.2064678295489113]"""
eth,4h,951.0,_recentYear,392.702844045401,10,11.0,8,6,69.91160949461367,2,-13.383406461140527,12.388102335817065,"""[40.50129225679288, 31.164230019493164, 266.76491405460064, 31.169622498099823, 40.00547497939158, 9.864123159303892]""","""[-26.560345092732142, -0.2064678295489113]"""
eth,4h,951.0,_recentYear,420.7843115168506,7,11.5,7,6,70.61442530139307,1,-2.90224029150782,13.273953044695602,"""[40.50129225679288, 32.150055235055845, 269.9959836797144, 31.169622498099823, 40.00547497939158, 9.864123159303892]""","""[-2.90224029150782]"""
eth,4h,951.0,_recentYear,393.2381412085558,9,11.0,8,6,70.4501210987993,2,-14.73129269211998,12.404988681657912,"""[40.50129225679288, 31.164230019493164, 269.9959836797144, 31.169622498099823, 40.00547497939158, 9.864123159303892]""","""[-26.560345092732142, -2.90224029150782]"""
eth,4h,951.0,_recentYear,430.2235504734147,7,12.5,6,5,86.62515815298451,1,-2.90224029150782,13.571720835123491,"""[100.13234843289945, 266.76491405460064, 21.8369075057621, 37.88006614981165, 6.51155462184874]""","""[-2.90224029150782]"""
eth,4h,951.0,_recentYear,407.1330513069969,7,12.0,7,6,68.33921526641745,1,-2.90224029150782,12.84331392135637,"""[34.40593121239963, 31.164230019493164, 269.1382231720348, 29.698416675017537, 37.88006614981165, 7.748424369747909]""","""[-2.90224029150782]"""
eth,4h,951.0,_recentYear,435.70152784044984,10,11.5,6,5,87.72075362639154,1,-2.90224029150782,13.744527692127756,"""[100.13234843289945, 266.76491405460064, 21.8369075057621, 40.00547497939158, 9.864123159303892]""","""[-2.90224029150782]"""
eth,4h,951.0,_recentYear,382.3779738839743,12,11.0,8,6,68.64009321136903,2,-14.73129269211998,12.062396652491303,"""[34.40593121239963, 29.630493364418616, 266.76491405460064, 31.169622498099823, 40.00547497939158, 9.864123159303892]""","""[-26.560345092732142, -2.90224029150782]"""
eth,4h,951.0,_recentYear,398.8918680286708,13,11.0,7,5,85.67089068258215,2,-14.73129269211998,12.58333968544703,"""[100.13234843289945, 248.65409016629823, 29.698416675017537, 40.00547497939158, 9.864123159303892]""","""[-26.560345092732142, -2.90224029150782]"""
eth,4h,951.0,_recentYear,399.1691450624027,9,11.5,7,6,67.0118975589851,1,-2.90224029150782,12.592086595028476,"""[34.40593121239963, 31.164230019493164, 266.76491405460064, 23.21928046617684, 40.00547497939158, 6.51155462184874]""","""[-2.90224029150782]"""
